,id,title,author,year,issn,url,doi,abstract,keyword,pages,num_pages,content_type,publication_venue,publisher
0,,Better Data Labelling With EMBLEM (and how that Impacts Defect Prediction),H. Tu; Z. Yu; T. Menzies,2022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9064604,10.1109/TSE.2020.2986415,"Standard automatic methods for recognizing problematic development commits can be greatly improved via the incremental application of human+artificial expertise. In this approach, called EMBLEM, an AI tool first explore the software development process to label commits that are most problematic. Humans then apply their expertise to check those labels (perhaps resulting in the AI updating the support vectors within their SVM learner). We recommend this human+AI partnership, for several reasons. When a new domain is encountered, EMBLEM can learn better ways to label which comments refer to real problems. Also, in studies with 9 open source software projects, labelling via EMBLEM's incremental application of human+AI is at least an order of magnitude cheaper than existing methods (<inline-formula><tex-math notation=""LaTeX"">$\approx$</tex-math><alternatives><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mo>≈</mml:mo></mml:math><inline-graphic xlink:href=""menzies-ieq1-2986415.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> eight times). Further, EMBLEM is very effective. For the data sets explored here, EMBLEM better labelling methods significantly improved <inline-formula><tex-math notation=""LaTeX"">$P_{opt}20$</tex-math><alternatives><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>P</mml:mi><mml:mrow><mml:mi>o</mml:mi><mml:mi>p</mml:mi><mml:mi>t</mml:mi></mml:mrow></mml:msub><mml:mn>20</mml:mn></mml:mrow></mml:math><inline-graphic xlink:href=""menzies-ieq2-2986415.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> and G-scores performance in nearly all the projects studied here.",Human-in-the-loop AI;data labelling;defect prediction;software analytics,"278, 294",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
1,,Reinforcement-Learning-Guided Source Code Summarization Using Hierarchical Attention,W. Wang; Y. Zhang; Y. Sui; Y. Wan; Z. Zhao; J. Wu; P. S. Yu; G. Xu,2022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9031440,10.1109/TSE.2020.2979701,"Code summarization (aka comment generation) provides a high-level natural language description of the function performed by code, which can benefit the software maintenance, code categorization and retrieval. To the best of our knowledge, the state-of-the-art approaches follow an encoder-decoder framework which encodes source code into a hidden space and later decodes it into a natural language space. Such approaches suffer from the following drawbacks: (a) they are mainly input by representing code as a sequence of tokens while ignoring code hierarchy; (b) most of the encoders only input simple features (e.g., tokens) while ignoring the features that can help capture the correlations between comments and code; (c) the decoders are typically trained to predict subsequent words by maximizing the likelihood of subsequent ground truth words, while in real world, they are excepted to generate the entire word sequence from scratch. As a result, such drawbacks lead to inferior and inconsistent comment generation accuracy. To address the above limitations, this paper presents a new code summarization approach using hierarchical attention network by incorporating multiple code features, including type-augmented abstract syntax trees and program control flows. Such features, along with plain code sequences, are injected into a deep reinforcement learning (DRL) framework (e.g., actor-critic network) for comment generation. Our approach assigns weights (pays “attention”) to tokens and statements when constructing the code representation to reflect the hierarchical code structure under different contexts regarding code features (e.g., control flows and abstract syntax trees). Our reinforcement learning mechanism further strengthens the prediction results through the actor network and the critic network, where the actor network provides the confidence of predicting subsequent words based on the current state, and the critic network computes the reward values of all the possible extensions of the current state to provide global guidance for explorations. Eventually, we employ an advantage reward to train both networks and conduct a set of experiments on a real-world dataset. The experimental results demonstrate that our approach outperforms the baselines by around 22 to 45 percent in BLEU-1 and outperforms the state-of-the-art approaches by around 5 to 60 percent in terms of S-BLEU and C-BLEU.",Code summarization;hierarchical attention;reinforcement learning,"102, 119",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
2,,"Machine Learning Testing: Survey, Landscapes and Horizons",J. M. Zhang; M. Harman; L. Ma; Y. Liu,2022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9000651,10.1109/TSE.2019.2962027,"This paper provides a comprehensive survey of techniques for testing machine learning systems; Machine Learning Testing (ML testing) research. It covers 144 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper also analyses trends concerning datasets, research trends, and research focus, concluding with research challenges and promising research directions in ML testing.",Machine learning;software testing;deep neural network,"1, 36",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
3,,Pre-Trained Neural Language Models for Automatic Mobile App User Feedback Answer Generation,Y. Cao; F. H. Fard,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680321,10.1109/ASEW52652.2021.00033,"Studies show that developers’ answers to the mobile app users’ feedbacks on app stores can increase the apps’ star rating. To help app developers generate answers that are related to the users’ issues, recent studies develop models to generate the answers automatically. Aims: The app response generation models use deep neural networks and require training data. Pre-Trained neural language Models (PTM) used in Natural Language Processing (NLP) take advantage of the information they learned from a large corpora in an unsupervised manner, and can reduce the amount of required training data. In this paper, we evaluate PTMs to generate replies to the mobile app user feedbacks. Method: We train a Transformer model from scratch and fine tune two PTMs to evaluate the generated responses, which are compared to RRGEN, a current app response model. We also evaluate the models with different portions of the training data. Results: The results on a large dataset evaluated by automatic metrics show that PTMs obtain lower scores than the baselines. However, our human evaluation confirm that PTMs can generate more relevant and meaningful responses to the posted feedbacks. Moreover, the performance of PTMs has less drop compared to other model when the amount of training data is reduced to 1/3. Conclusion: PTMs are useful in generating responses to app reviews and are more robust models to the amount of training data provided. However, the prediction time is 19X than RRGEN. This study can provide new avenues for research in adapting the PTMs for analyzing mobile app user feedbacks.",mobile app user feedback analysis;neural pre-trained language models;automatic answer generation,"120, 125",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
4,,Classification of UML Diagrams to Support Software Engineering Education,J. F. Tavares; Y. M. G. Costa; T. E. Colanzi,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680314,10.1109/ASEW52652.2021.00030,"There is a huge necessity for tools that implement accessibility in Software Engineering (SE) education. The use of diagrams to teach software development is a very common practice, and there are a lot of UML diagrams represented as images in didactic materials that need an accessible version for visually impaired or blind students. Machine learning techniques, such as deep learning, can be used to automate this task. The practical application of deep learning in many classification problems in the context of SE is problematic due to the large volumes of labeled data required for training. Transfer learning techniques can help in this type of task by taking advantage of pre-trained models based on Convolutional Neural Networks (CNN), so that better results may be achieved even with few images. In this work, we applied transfer learning and data augmentation for UML diagrams classification on a dataset specially created for the development of this work, containing six types of UML diagrams. The dataset was also made available as a contribution of this work. We experimented three widely-known CNN architectures: VGG16, RestNet50, and InceptionV3. The results demonstrated that the use of transfer learning contributes for achieving good results even using scarce data. However, there is still a room for improvement regarding the successful classification of the UML diagrams addressed in this work.",Software Engineering Education;UML diagrams;Deep Learning;Transfer Learning;Assistive Technologies,"102, 107",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
5,,JavaBERT: Training a Transformer-Based Model for the Java Programming Language,N. T. De Sousa; W. Hasselbring,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680322,10.1109/ASEW52652.2021.00028,"Code quality is and will be a crucial factor while developing new software code, requiring appropriate tools to ensure functional and reliable code. Machine learning techniques are still rarely used for software engineering tools, missing out the potential benefits of its application. Natural language processing has shown the potential to process text data regarding a variety of tasks. We argue, that such models can also show similar benefits for software code processing. In this paper, we investigate how models used for natural language processing can be trained upon software code. We introduce a data retrieval pipeline for software code and train a model upon Java software code. The resulting model, JavaBERT, shows a high accuracy on the masked language modeling task showing its potential for software engineering tools.",,"90, 95",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
6,,Identifying non-natural language artifacts in bug reports,T. Hirsch; B. Hofer,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680274,10.1109/ASEW52652.2021.00046,"Bug reports are a popular target for natural language processing (NLP). However, bug reports often contain artifacts such as code snippets, log outputs and stack traces. These artifacts not only inflate the bug reports with noise, but often constitute a real problem for the NLP approach at hand and have to be removed. In this paper, we present a machine learning based approach to classify content into natural language and artifacts at line level implemented in Python. We show how data from GitHub issue trackers can be used for automated training set generation, and present a custom preprocessing approach for bug reports. Our model scores at 0.95 ROC-AUC and 0.93 F1 against our manually annotated validation set, and classifies 10k lines in 0.72 seconds. We cross evaluated our model against a foreign dataset and a foreign R model for the same task. The Python implementation of our model and our datasets are made publicly available under an open source license.",NLP;bug reports;data cleaning;artifact removal,"191, 197",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
7,,Sustainable AI in the Cloud: Exploring Machine Learning Energy Use in the Cloud,P. Walsh; J. Bera; V. S. Sharma; V. Kaulgud; R. M. Rao; O. Ross,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680315,10.1109/ASEW52652.2021.00058,"In light of the increasing urgency regarding climate change due to man-made greenhouse gas emissions, focus is now being brought to bear on the amount of energy that artificial intelligence (AI) applications consume. Research has highlighted the immense carbon footprint of machine learning (ML) driven applications, due to the extraordinary growth in the size of deep learning models, which are estimated to have grown by a factor of 300,000 over the last six years. This is a concern, so we wish to add our voice to a growing community of responsible AI researchers and practitioners and help highlight how energy awareness and responsible best practices can be used to enhance the environmental sustainability of AI. Hence, we provide a preliminary exploration of the energy use profile of ML training in the cloud and demonstrate how transfer learning can be used to reduce this energy consumption.",AI;Cloud;Energy;Machine Learning;Transfer Learning,"265, 266",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
8,,Merging Datasets for Emotion Analysis,A. De Arriba; M. Oriol; X. Franch,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680305,10.1109/ASEW52652.2021.00051,"Context. Applying sentiment analysis is in general a laborious task. Furthermore, if we add the task of getting a good quality dataset with balanced distribution and enough samples, the job becomes more complicated. Objective. We want to find out whether merging compatible datasets improves emotion analysis based on machine learning (ML) techniques, compared to the original, individual datasets. Method. We obtained two datasets with Covid-19-related tweets written in Spanish, and then built from them two new datasets combining the original ones with different consolidation of balance. We analyzed the results according to precision, recall, F1-score and accuracy. Results. The results obtained show that merging two datasets can improve the performance of ML models, particularly the F1-score, when the merging process follows a strategy that optimizes the balance of the resulting dataset. Conclusions. Merging two datasets can improve the performance of ML models for emotion analysis, whilst saving resources for labeling training data. This might be especially useful for several software engineering activities that leverage on ML-based emotion analysis techniques.",Sentiment Analysis;Emotion Classification;Machine Learning;Merging Datasets;Social Media;Twitter;BETO,"227, 231",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
9,,AWARE: Aspect-Based Sentiment Analysis Dataset of Apps Reviews for Requirements Elicitation,N. Alturaief; H. Aljamaan; M. Baslyman,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679823,10.1109/ASEW52652.2021.00049,"The smartphone apps market is growing rapidly which challenges apps owners to continue improving their products and to compete in the market. The analysis of users feedback is a key enabler for improvements as stakeholders can utilize it to gain a broad understanding of the successes and failures of their products as well as those of competitors. That leads to generating evidence-based requirements and enhancing the requirements elicitation activities. Aspect-Based Sentiment Analysis (ABSA) is a branch of Sentiment Analysis that identifies aspects and assigns a sentiment to each aspect. Having the aspect information adds a more accurate understanding of opinions and addresses the limited use of the overall sentiment. However, the ABSA task has not yet been investigated in the context of smartphone apps reviews and requirements elicitation. In this paper, we introduce AWARE as a benchmark dataset of 11323 apps reviews that are annotated with aspect terms, categories, and sentiment. Reviews were collected from three domains: productivity, social networking, and games. We derived the aspect categories for each domain using content analysis and validated them with domain experts in terms of importance, comprehensiveness, overlapping, and granularity level. We crowdsourced the annotations of aspect categories and sentiment polarities and performed quality control procedures. The aspect terms were annotated using a partially automated Natural Language Processing (NLP) approach and validated by annotators, which resulted in 98% correct aspect terms. Lastly, we built machine learning baselines for three tasks, namely (i) aspect term extraction using a POS tagger, (ii) aspect category classification, and (iii) aspect sentiment classification, using both Support Vector Machine (SVM) and Multi-layer Perceptron (MLP) classifiers.",aspect-based sentiment analysis;apps reviews;dataset;requirements elicitation,"211, 218",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),IEEE
