,id,title,author,year,publisher,issn,url,doi,abstract,keyword,pages,num_pages,publication_venue
0,@inproceedings: 10.1145/3453483.3454056,Fast and Precise Certification of Transformers,"Bonaert, Gregory and Dimitrov, Dimitar I. and Baader, Maximilian and Vechev, Martin",2021,Association for Computing Machinery,,https://doi.org/10.1145/3453483.3454056,10.1145/3453483.3454056,"We present DeepT, a novel method for certifying Transformer networks based on abstract interpretation. The key idea behind DeepT is our new Multi-norm Zonotope abstract domain, an extension of the classical Zonotope designed to handle ℓ1 and ℓ2-norm bound perturbations. We introduce all Multi-norm Zonotope abstract transformers necessary to handle these complex networks, including the challenging softmax function and dot product. Our evaluation shows that DeepT can certify average robustness radii that are 28\texttimes{} larger than the state-of-the-art, while scaling favorably. Further, for the first time, we certify Transformers against synonym attacks on long sequences of words, where each word can be replaced by any synonym. DeepT achieves a high certification success rate on sequences of words where enumeration-based verification would take 2 to 3 orders of magnitude more time.","Abstract Interpretation, Adversarial attacks, Transformer Networks, Deep Learning, Robustness Certification",466–481,16,Proceedings of the 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation
1,@inproceedings: 10.1109/ICSE-SEIP52600.2021.00019,Robustness of On-Device Models: Adversarial Attack to Deep Learning Models on Android Apps,"Huang, Yujin and Hu, Han and Chen, Chunyang",2021,IEEE Press,,https://doi.org/10.1109/ICSE-SEIP52600.2021.00019,10.1109/ICSE-SEIP52600.2021.00019,"Deep learning has shown its power in many applications, including object detection in images, natural-language understanding, and speech recognition. To make it more accessible to end users, many deep learning models are now embedded in mobile apps. Compared to offloading deep learning from smartphones to the cloud, performing machine learning on-device can help improve latency, connectivity, and power consumption. However, most deep learning models within Android apps can easily be obtained via mature reverse engineering, while the models' exposure may invite adversarial attacks. In this study, we propose a simple but effective approach to hacking deep learning models using adversarial attacks by identifying highly similar pre-trained models from TensorFlow Hub. All 10 real-world Android apps in the experiment are successfully attacked by our approach. Apart from the feasibility of the model attack, we also carry out an empirical study that investigates the characteristics of deep learning models used by hundreds of Android apps on Google Play. The results show that many of them are similar to each other and widely use fine-tuning techniques to pre-trained models on the Internet.","deep learning, mobile apps, adversarial attack, Android",101–110,10,Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice
2,@inbook: 10.1109/ICSE-Companion52605.2021.00137,"NLP for Requirements Engineering: Tasks, Techniques, Tools, and Technologies","Ferrari, Alessio and Zhao, Liping and Alhoshan, Waad",2021,IEEE Press,,https://doi.org/10.1109/ICSE-Companion52605.2021.00137,,"Requirements engineering (RE) is one of the most natural language-intensive fields within the software engineering area. Therefore, several works have been developed across the years to automate the analysis of natural language artifacts that are relevant for RE, including requirements documents, but also app reviews, privacy policies, and social media content related to software products. Furthermore, the recent diffusion of game-changing natural language processing (NLP) techniques and platforms has also boosted the interest of RE researchers. However, a reference framework to provide a holistic understanding of the field of NLP for RE is currently missing. Based on the results of a recent systematic mapping study, and stemming from a previous ICSE tutorial by one of the authors, this technical briefing gives an overview of NLP for RE tasks, available techniques, supporting tools and NLP technologies. It is oriented to both researchers and practitioners, and will gently guide the audience towards a clearer view of how NLP can empower RE, providing pointers to representative works and specialised tools.",,322–323,,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings
3,@inbook: 10.1109/ICSE-Companion52605.2021.00061,ProMal: Precise Window Transition Graphs for Android via Synergy of Program Analysis and Machine Learning,"Liu, Changlin and Xiao, Xusheng",2021,IEEE Press,,https://doi.org/10.1109/ICSE-Companion52605.2021.00061,,"Mobile apps have been an integral part in our daily life. As these apps become more complex, it is critical to provide automated analysis techniques to ensure the correctness, security, and performance of these apps. A key component for these automated analysis techniques is to create a graphical user interface (GUI) model of an app, i.e., a window transition graph (WTG), that models windows and transitions among the windows. While existing work has provided both static and dynamic analysis to build the WTG for an app, the constructed WTG misses many transitions or contains many infeasible transitions due to the coverage issues of dynamic analysis and over-approximation of the static analysis. We propose ProMal, a ""tribrid"" analysis that synergistically combines static analysis, dynamic analysis, and machine learning to construct a precise WTG. Specifically, ProMal first applies static analysis to build a static WTG, and then applies dynamic analysis to verify the transitions in the static WTG. For the unverified transitions, ProMal further provides machine learning techniques that leverage runtime information (i.e., screenshots, UI layouts, and text information) to predict whether they are feasible transitions. Our evaluations on 40 real-world apps demonstrate the superiority of ProMal in building WTGs over static analysis, dynamic analysis, and machine learning techniques when they are applied separately.",,144–146,,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings
4,@inbook: 10.1109/ICSE-Companion52605.2021.00115,Scalable Quantitative Verification for Deep Neural Networks,"Baluta, Teodora and Chua, Zheng Leong and Meel, Kuldeep S. and Saxena, Prateek",2021,IEEE Press,,https://doi.org/10.1109/ICSE-Companion52605.2021.00115,,"Despite the functional success of deep neural networks (DNNs), their trustworthiness remains a crucial open challenge. To address this challenge, both testing and verification techniques have been proposed. But these existing techniques provide either scalability to large networks or formal guarantees, not both. In this paper, we propose a scalable quantitative verification framework for deep neural networks, i.e., a test-driven approach that comes with formal guarantees that a desired probabilistic property is satisfied. Our technique performs enough tests until soundness of a formal probabilistic property can be proven. It can be used to certify properties of both deterministic and randomized DNNs. We implement our approach in a tool called PROVERO1 and apply it in the context of certifying adversarial robustness of DNNs. In this context, we first show a new attack-agnostic measure of robustness which offers an alternative to purely attack-based methodology of evaluating robustness being reported today. Second, PROVERO provides certificates of robustness for large DNNs, where existing state-of-the-art verification tools fail to produce conclusive results. Our work paves the way forward for verifying properties of distributions captured by real-world deep neural networks, with provable guarantees, even where testers only have black-box access to the neural network.",,248–249,,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings
5,@inproceedings: 10.1109/ICSE-SEIS52602.2021.00019,Image-Based Social Sensing: Combining AI and the Crowd to Mine Policy-Adherence Indicators from Twitter,"Negri, Virginia and Scuratti, Dario and Agresti, Stefano and Rooein, Donya and Scalia, Gabriele and Shankar, Amudha Ravi and Marquez, Jose Luis Fernandez and Carman, Mark James and Pernici, Barbara",2021,IEEE Press,,https://doi.org/10.1109/ICSE-SEIS52602.2021.00019,10.1109/ICSE-SEIS52602.2021.00019,"Social Media provides a trove of information that, if aggregated and analysed appropriately can provide important statistical indicators to policy makers. In some situations these indicators are not available through other mechanisms. For example, given the ongoing COVID-19 outbreak, it is essential for governments to have access to reliable data on policy-adherence with regards to mask wearing, social distancing, and other hard-to-measure quantities. In this paper we investigate whether it is possible to obtain such data by aggregating information from images posted to social media. The paper presents VisualCit, a pipeline for image-based social sensing combining recent advances in image recognition technology with geocoding and crowdsourcing techniques. Our aim is to discover in which countries, and to what extent, people are following COVID-19 related policy directives. We compared the results with the indicators produced within the CovidDataHub behavior tracker initiative. Preliminary results shows that social media images can produce reliable indicators for policy makers.","image classification, social media, citizen science, machine learning, social sensing, crowdsourcing",92–101,10,Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Society
6,@inbook: 10.1109/ICSE-Companion52605.2021.00117,RPT: Effective and Efficient <b>r</b>Etrieval of <b>p</b>Rogram <b>t</b>Ranslations from Big Code,"Chen, Binger and Abedjan, Ziawasch",2021,IEEE Press,,https://doi.org/10.1109/ICSE-Companion52605.2021.00117,,"Program translation is a growing demand in software engineering. Manual program translation requires programming expertise in source and target language. One way to automate this process is to make use of the big data of programs, i.e., Big Code. In particular, one can search for program translations in Big Code. However, existing code retrieval techniques are not designed for cross-language code retrieval. Other data-driven approaches require human efforts in constructing cross-language parallel datasets to train translation models. In this paper, we present Rpt, a novel code translation retrieval system. We propose a lightweight but informative program representation, which can be generalized to all imperative PLs. Furthermore, we present our index structure and hierarchical filtering mechanism for efficient code retrieval from a Big Code database.",,252–253,,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings
7,@inproceedings: 10.1109/ICSE-SEIP52600.2021.00031,Neural Knowledge Extraction from Cloud Service Incidents,"Shetty, Manish and Bansal, Chetan and Kumar, Sumit and Rao, Nikitha and Nagappan, Nachiappan and Zimmermann, Thomas",2021,IEEE Press,,https://doi.org/10.1109/ICSE-SEIP52600.2021.00031,10.1109/ICSE-SEIP52600.2021.00031,"The move from boxed products to services and the widespread adoption of cloud computing has had a huge impact on the software development life cycle and DevOps processes. Particularly, incident management has become critical for developing and operating large-scale services. Prior work on incident management has heavily focused on the challenges with incident triaging and de-duplication. In this work, we address the fundamental problem of structured knowledge extraction from service incidents. We have built SoftNER, a framework for unsupervised knowledge extraction from service incidents. We frame the knowledge extraction problem as a Named-Entity Recognition task for extracting factual information. SoftNER leverages structural patterns like key-value pairs and tables for bootstrapping the training data. Further, we build a novel multitask learning based BiLSTM-CRF model which leverages not just the semantic context but also the data-types for named-entity extraction. We have deployed SoftNER at Microsoft, a major cloud service provider and have evaluated it on more than 2 months of cloud incidents. We show that the unsupervised machine learning pipeline has a high precision of 0.96. Our multi-task learning based deep learning model also outperforms the state of the art NER models. Lastly, using the knowledge extracted by SoftNER we are able to build significantly more accurate models for important downstream tasks like incident triaging.",,218–227,10,Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice
8,@inbook: 10.1109/ICSE-Companion52605.2021.00026,Roosterize: Suggesting Lemma Names for Coq Verification Projects Using Deep Learning,"Nie, Pengyu and Palmskog, Karl and Li, Junyi Jessy and Gligoric, Milos",2021,IEEE Press,,https://doi.org/10.1109/ICSE-Companion52605.2021.00026,,"Naming conventions are an important concern in large verification projects using proof assistants, such as Coq. In particular, lemma names are used by proof engineers to effectively understand and modify Coq code. However, providing accurate and informative lemma names is a complex task, which is currently often carried out manually. Even when lemma naming is automated using rule-based tools, generated names may fail to adhere to important conventions not specified explicitly. We demonstrate a toolchain, dubbed Roosterize, which automatically suggests lemma names in Coq projects. Roosterize leverages a neural network model trained on existing Coq code, thus avoiding manual specification of naming conventions. To allow proof engineers to conveniently access suggestions from Roosterize during Coq project development, we integrated the toolchain into the popular Visual Studio Code editor. Our evaluation shows that Roosterize substantially outperforms strong baselines for suggesting lemma names and is useful in practice. The demo video for Roosterize can be viewed at: https://youtu.be/HZ5ac7Q14rc.",,21–24,,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings
9,@inbook: 10.1109/ICSE-SEIP52600.2021.00029,NNStreamer: Efficient and Agile† Development of on-Device AI Systems,"Ham, MyungJoo and Moon, Jijoong and Lim, Geunsik and Jung, Jaeyun and Ahn, Hyoungjoo and Song, Wook and Woo, Sangjung and Kapoor, Parichay and Chae, Dongju and Jang, Gichan and Ahn, Yongjoo and Lee, Jihoon",2021,IEEE Press,,https://doi.org/10.1109/ICSE-SEIP52600.2021.00029,,"We propose NNStreamer, a software system that handles neural networks as filters of stream pipelines, applying the stream processing paradigm to deep neural network applications. A new trend with the wide-spread of deep neural network applications is on-device AI. It is to process neural networks on mobile devices or edge/IoT devices instead of cloud servers. Emerging privacy issues, data transmission costs, and operational costs signify the need for on-device AI, especially if we deploy a massive number of devices. NNStreamer efficiently handles neural networks with complex data stream pipelines on devices, significantly improving the overall performance with minimal effort. Besides, NNStreamer simplifies implementations and allows reusing off-the-shelf media filters directly, which reduces developmental costs significantly. We are already deploying NNStreamer for a wide range of products and platforms, including the Galaxy series and various consumer electronic devices. The experimental results suggest a reduction in developmental costs and enhanced performance of pipeline architectures and NNStreamer. It is an open-source project incubated by Linux Foundation AI &amp; Data, available to the public and applicable to various hardware and software platforms.",,198–207,1,Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice
