,id,title,author,year,publisher,issn,url,doi,abstract,keyword,pages,num_pages,publication_venue
0,@article: PALLY2022105285,Application of image processing and convolutional neural networks for flood image classification and semantic segmentation,R.J. Pally and S. Samadi,2022,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815221003273,https://doi.org/10.1016/j.envsoft.2021.105285,"Deep learning algorithms are exceptionally valuable tools for collecting and analyzing the catastrophic readiness and countless actionable flood data. Convolutional neural networks (CNNs) are one form of deep learning algorithms widely used in computer vision which can be used to study flood images and assign learnable weights to various objects in the image. Here, we leveraged and discussed how connected vision systems can be used to embed cameras, image processing, CNNs, and data connectivity capabilities for flood label detection. We built a training database service of >9000 images (image annotation service) including the image geolocation information by streaming relevant images from social media platforms, Department of Transportation (DOT) 511 traffic cameras, the US Geological Survey (USGS) live river cameras, and images downloaded from search engines. We then developed a new python package called “FloodImageClassifier” to classify and detect objects within the collected flood images. “FloodImageClassifier” includes various CNNs architectures such as YOLOv3 (You look only once version 3), Fast R–CNN (Region-based CNN), Mask R–CNN, SSD MobileNet (Single Shot MultiBox Detector MobileNet), and EfficientDet (Efficient Object Detection) to perform both object detection and segmentation simultaneously. Canny Edge Detection and aspect ratio concepts are also included in the package for flood water level estimation and classification. The pipeline is smartly designed to train a large number of images and calculate flood water levels and inundation areas which can be used to identify flood depth, severity, and risk. “FloodImageClassifier” can be embedded with the USGS live river cameras and 511 traffic cameras to monitor river and road flooding conditions and provide early intelligence to emergency response authorities in real-time","Image processing, Convolutional neural networks, Flood label detection, Floodwater level and extend estimation, “FloodImageClassifier” package",105285,,Environmental Modelling & Software
1,@article: GAUCH2021104926,The proper care and feeding of CAMELS: How limited training data affects streamflow prediction,Martin Gauch and Juliane Mai and Jimmy Lin,2021,,1364-8152,https://www.sciencedirect.com/science/article/pii/S136481522030983X,https://doi.org/10.1016/j.envsoft.2020.104926,"Accurate streamflow prediction largely relies on historical meteorological records and streamflow measurements. For many regions, however, such data are only scarcely available. Facing this problem, many studies simply trained their machine learning models on the region's available data, leaving possible repercussions of this strategy unclear. In this study, we evaluate the sensitivity of tree- and LSTM-based models to limited training data, both in terms of geographic diversity and different time spans. We feed the models meteorological observations disseminated with the CAMELS dataset, and individually restrict the training period length, number of training basins, and input sequence length. We quantify how additional training data improve predictions and how many previous days of forcings we should feed the models to obtain best predictions for each training set size. Further, our findings show that tree- and LSTM-based models provide similarly accurate predictions on small datasets, while LSTMs are superior given more training data","LSTM, XGBoost, CAMELS, Streamflow prediction, Machine learning",104926,,Environmental Modelling & Software
2,@article: ZHANG2020104600,Constructing a PM2.5 concentration prediction model by combining auto-encoder with Bi-LSTM neural networks,Bo Zhang and Hanwen Zhang and Gengming Zhao and Jie Lian,2020,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815219300192,https://doi.org/10.1016/j.envsoft.2019.104600,"Air pollution problems have a severe effect on the natural environment and public health. The application of machine learning to air pollutant data can result in a better understanding of environmental quality. Of these methods, the deep learning method has proven to be a very efficient and accurate method to forecast complex air quality data. This paper proposes a deep learning model based on an auto-encoder and bidirectional long short-term memory (Bi-LSTM) to forecast PM2.5 concentrations to reveal the correlation between PM2.5 and multiple climate variables. The model comprises several aspects, including data preprocessing, auto-encoder layer, and Bi-LSTM layer. The performance of the proposed model was verified based on a real-world air pollution dataset, and the results indicated this model can improve the prediction accuracy in an experimental scenario","Deep learning, Auto-encoder, Bi-LSTM, Data preprocessing, PM concentration prediction, Air pollution",104600,,Environmental Modelling & Software
3,@article: PAIS2021105122,Deep fire topology: Understanding the role of landscape spatial patterns in wildfire occurrence using artificial intelligence,Cristobal Pais and Alejandro Miranda and Jaime Carrasco and Zuo-Jun Max Shen,2021,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815221001651,https://doi.org/10.1016/j.envsoft.2021.105122,"Increasing wildfire activity globally has become an urgent issue with enormous ecological and social impacts. In this work, we focus on analyzing and quantifying the influence of landscape topology, understood as the spatial structure and interaction of multiple land-covers in an area, on fire ignition. We propose a deep learning framework, Deep Fire Topology, to estimate and predict wildfire ignition risk. We focus on understanding the impact of these topological attributes and the rationale behind the results to provide interpretable knowledge for territorial planning considering wildfire ignition uncertainty. We demonstrate the high performance and interpretability of the framework in a case study, accurately detecting risky areas by exploiting spatial patterns. This work reveals the strong potential of landscape topology in wildfire occurrence prediction and its implications to develop robust landscape management plans. We discuss potential extensions and applications of the proposed method, available as an open-source software","Deep learning, Machine learning, Landscape topology, Wildfire ignition risk, Wildfire management, Territorial planning",105122,,Environmental Modelling & Software
4,@article: YE2019407,Projecting Australia's forest cover dynamics and exploring influential factors using deep learning,Long Ye and Lei Gao and Raymundo Marcos-Martinez and Dirk Mallants and Brett A. Bryan,2019,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815218304237,https://doi.org/10.1016/j.envsoft.2019.07.013,"This study presents the first application of deep learning techniques in capturing long-term, time-continuous forest cover dynamics at a continental scale. We developed a spatially-explicit ensemble model for projecting Australia's forest cover change using Long Short-Term Memory (LSTM) deep learning neural networks applied to a multi-dimensional, high-resolution spatiotemporal dataset and run on a high-performance computing cluster. We further quantified the influence of explanatory variables on the spatiotemporal dynamics of continental forest cover. Deep learning greatly outperformed a state-of-the-art spatial-econometric model at continental, state, and grid-cell scales. For example, at the continental scale, compared to the spatial-econometric model, the deep learning model improved projection performance by 44% (root-mean-square error) and 12% (pseudo R-squared). The results illustrate the robustness and effectiveness of the LSTM model. This work provides a reliable tool for projecting forest cover and agricultural production under given future scenarios, supporting decision-making in sustainable land development, management, and conservation","Long short-term memory, Deep learning, Forest cover change, Spatiotemporal data, Projections, Deforestation",407-417,,Environmental Modelling & Software
5,@article: RAZAVI2021105159,"Deep learning, explained: Fundamentals, explainability, and bridgeability to process-based modelling",Saman Razavi,2021,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815221002024,https://doi.org/10.1016/j.envsoft.2021.105159,"Recent breakthroughs in artificial intelligence (AI), and particularly in deep learning (DL), have created tremendous excitement and opportunities in the earth and environmental sciences communities. To leverage these new ‘data-driven’ technologies, however, one needs to understand the fundamental concepts that give rise to DL and how they differ from ‘process-based’, mechanistic modelling. This paper revisits those fundamentals and addresses 10 questions that might be posed by earth and environmental scientists, and with the aid of a real-world modelling experiment, it explains some critical, but often ignored, issues DL may face in practice. The overarching objective is to contribute to a future of AI-assisted earth and environmental sciences where AI models can (1) embrace the typically ignored knowledge base available, (2) function credibly in ‘true’ out-of-sample prediction, and (3) handle non-stationarity in earth and environmental systems. Comparing and contrasting earth and environmental problems with prominent AI applications, such as playing chess and trading in stock markets, provides critical insights for better directing future research in this field","Artificial intelligence, Machine learning, Deep learning, Artificial neural networks, Process-based modelling, Earth systems, Hydrology",105159,,Environmental Modelling & Software
6,@article: XU2017127,Automatic land cover classification of geo-tagged field photos by deep learning,Guang Xu and Xuan Zhu and Dongjie Fu and Jinwei Dong and Xiangming Xiao,2017,,1364-8152,https://www.sciencedirect.com/science/article/pii/S1364815216303152,https://doi.org/10.1016/j.envsoft.2017.02.004,"With more and more crowdsourcing geo-tagged field photos available online, they are becoming a potentially valuable source of information for environmental studies. However, the labelling and recognition of these photos are time-consuming. To utilise such information, a land cover type recognition model for field photos was proposed based on the deep learning technique. This model combines a pre-trained convolutional neural network (CNN) as the image feature extractor and the multinomial logistic regression model as the feature classifier. The pre-trained CNN model Inception-v3 was used in this study. The labelled field photos from the Global Geo-Referenced Field Photo Library (http://eomf.ou.edu/photos) were chosen for model training and validation. The results indicated that our recognition model achieved an acceptable accuracy (48.40% for top-1 prediction and 76.24% for top-3 prediction) of land cover classification. With accurate self-assessment of confidence, the model can be applied to classify numerous online geo-tagged field photos for environmental information extraction","Deep learning, Convolutional neural network, Transfer learning, Multinomial logistic regression, Land cover, Crowdsourced photos",127-134,,Environmental Modelling & Software
7,@article: XU2021106452,Feature selection and embedding based cross project framework for identifying crashing fault residence,Zhou Xu and Tao Zhang and Jacky Keung and Meng Yan and Xiapu Luo and Xiaohong Zhang and Ling Xu and Yutian Tang,2021,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584920302019,https://doi.org/10.1016/j.infsof.2020.106452,"Context: The automatically produced crash reports are able to analyze the root of fault causing the crash (crashing fault for short) which is a critical activity for software quality assurance. Objective: Correctly predicting the existence of crashing fault residence in stack traces of crash report can speed up program debugging process and optimize debugging efforts. Existing work focused on the collected label information from bug-fixing logs, and the extracted features of crash instances from stack traces and source code for Identification of Crashing Fault Residence (ICFR) of newly-submitted crashes. This work develops a novel cross project ICFR framework to address the data scarcity problem by using labeled crash data of other project for the ICFR task of the project at hand. This framework removes irrelevant features, reduces distribution differences, and eases the class imbalance issue of cross project data since these factors may negatively impact the ICFR performance. Method: The proposed framework, called FSE, combines Feature Selection and feature Embedding techniques. The FSE framework first uses an information gain ratio based feature ranking method to select a relevant feature subset for cross project data, and then employs a state-of-the-art Weighted Balanced Distribution Adaptation (WBDA) method to map features of cross project data into a common space. WBDA considers both marginal and conditional distributions as well as their weights to reduce data distribution discrepancies. Besides, WBDA balances the class proportion of each project data to alleviate the class imbalance issue. Results: We conduct experiments on 7 projects to evaluate the performance of our FSE framework. The results show that FSE outperforms 25 methods under comparison. Conclusion: This work proposes a cross project learning framework for ICFR, which uses feature selection and embedding to remove irrelevant features and reduce distribution differences, respectively. The results illustrate the performance superiority of our FSE framework","Crashing fault, Stack trace, Feature selection, Feature embedding, Cross project framework",106452,,Information and Software Technology
8,@article: ZHAO2021106619,Icon2Code: Recommending code implementations for Android GUI components,Yanjie Zhao and Li Li and Xiaoyu Sun and Pei Liu and John Grundy,2021,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584921000926,https://doi.org/10.1016/j.infsof.2021.106619,Contex,"Android, App development, Collaborative filtering, Icon implementation, API recommendation",106619,,Information and Software Technology
9,@article: HUANG2020106373,Towards automatically generating block comments for code snippets,Yuan Huang and Shaohao Huang and Huanchao Chen and Xiangping Chen and Zibin Zheng and Xiapu Luo and Nan Jia and Xinyu Hu and Xiaocong Zhou,2020,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584920301427,https://doi.org/10.1016/j.infsof.2020.106373,"Code commenting is a common programming practice of practical importance to help developers review and comprehend source code. There are two main types of code comments for a method: header comments that summarize the method functionality located before a method, and block comments that describe the functionality of the code snippets within a method. Inspired by the effectiveness of deep learning techniques in the NLP field, many studies focus on using the machine translation model to automatically generate comment for the source code. Because the data set of block comments is difficult to collect, current studies focus more on the automatic generation of header comments than that of block comments. However, block comments are important for program comprehension due to their explanation role for the code snippets in a method. To fill the gap, we have proposed an approach that combines heuristic rules and learning-based method to collect a large number of comment-code pairs from 1,032 open source projects in our previous study. In this paper, we propose a reinforcement learning-based method, RL-BlockCom, to automatically generate block comments for code snippets based on the collected comment-code pairs. Specifically, we utilize the abstract syntax tree (i.e., AST) of a code snippet to generate a token sequence with a statement-based traversal way. Then we propose a composite learning model, which combines the actor-critic algorithm of reinforcement learning with the encoder-decoder algorithm, to generate block comments. On the data set of the comment-code pairs, the BLEU-4 score of our method is 24.28, which outperforms the baselines and state-of-the-art in comment generation","Automatic comment generation, Source code summarization, Code comment scope, Reinforcement learning",106373,,Information and Software Technology
