,id,title,author,year,publisher,issn,url,doi,abstract,keyword,pages,num_pages,publication_venue,content_type,source
0,,Improving the prediction of continuous integration build failures using deep learning,"Saidani I., Ouni A., Mkaouer M.W.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123344189&doi=10.1007%2fs10515-021-00319-5&partnerID=40&md5=4d0c792e31310b01454a9f3513e96bf2,10.1007/s10515-021-00319-5,"Continuous Integration (CI) aims at supporting developers in integrating code changes constantly and quickly through an automated build process. However, the build process is typically time and resource-consuming as running failed builds can take hours until discovering the breakage; which may cause disruptions in the development process and delays in the product release dates. Hence, preemptively detecting when a software state is most likely to trigger a failure during the build is of crucial importance for developers. Accurate build failures prediction techniques can cut the expenses of CI build cost by early predicting its potential failures. However, developing accurate prediction models is a challenging task as it requires learning long- and short-term dependencies in the historical CI build data as well as extensive feature engineering to derive informative features to learn from. In this paper, we introduce DL-CIBuild a novel approach that uses Long Short-Term Memory (LSTM)-based Recurrent Neural Networks (RNN) to construct prediction models for CI build outcome prediction. The problem is comprised of a single series of CI build outcomes and a model is required to learn from the series of past observations to predict the next CI build outcome in the sequence. In addition, we tailor Genetic Algorithm (GA) to tune the hyper-parameters for our LSTM model. We evaluate our approach and investigate the performance of both cross-project and online prediction scenarios on a benchmark of 91,330 CI builds from 10 large and long-lived software projects that use the Travis CI build system. The statistical analysis of the obtained results shows that the LSTM-based model outperforms traditional Machine Learning (ML) models with both online and cross-project validations. DL-CIBuild has shown also a less sensitivity to the training set size and an effective robustness to the concept drift. Additionally, by considering several Hyper-Parameter Optimization (HPO) methods as baseline for GA, we demonstrate that the latter performs the best. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Build prediction; Concept drift; Continuous integration; Genetic algorithm; Hyper-parameters optimization; Long short term memory; Machine learning; Travis CI,,,Automated Software Engineering,Article,Scopus
1,,Opinion mining for app reviews: an analysis of textual representation and predictive models,"Araujo A.F., Gôlo M.P.S., Marcacini R.M.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119969463&doi=10.1007%2fs10515-021-00301-1&partnerID=40&md5=5d40eb0d9084b03467f2ad98ed088a8e,10.1007/s10515-021-00301-1,"Popular mobile applications receive millions of user reviews. These reviews contain relevant information for software maintenance, such as bug reports and improvement suggestions. The review’s information is a valuable knowledge source for software requirements engineering since the apps review analysis helps make strategic decisions to improve the app quality. However, due to the large volume of texts, the manual extraction of the relevant information is an impracticable task. Opinion mining is the field of study for analyzing people’s sentiments and emotions through opinions expressed on the web, such as social networks, forums, and community platforms for products and services recommendation. In this paper, we investigate opinion mining for app reviews. In particular, we compare textual representation techniques for classification, sentiment analysis, and utility prediction from app reviews. We discuss and evaluate different techniques for the textual representation of reviews, from traditional Bag-of-Words (BoW) to the most recent state-of-the-art Neural Language models (NLM). Our findings show that the traditional Bag-of-Words model, combined with a careful analysis of text pre-processing techniques, is still competitive. It obtains results close to the NLM in the classification, sentiment analysis and utility prediction tasks. However, NLM proved to be more advantageous since they achieved very competitive performance in all the predictive tasks covered in this work, provide significant dimensionality reduction, and deals more adequately with semantic proximity between the reviews’ texts. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Machine learning; Mobile applications; Opinion mining; Requirements engineering,,,Automated Software Engineering,Article,Scopus
2,,A study on improved deep learning structure based on DenseNet,"Yun S.-K., Kwon H.J., Kim J.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118626405&doi=10.4018%2fIJSI.289595&partnerID=40&md5=dee1eacf6e4e1351ba892c1bfd4e9510,10.4018/IJSI.289595,"The existing image-related deep learning research methods are conducted through algorithms based on feature identification and association, but there are limits to their accuracy and reliability. These methods are inefficient for artificial neural networks to extract features and learn because of the loss of spatial information in the process of removing background and flattening images and have a limit on increasing accuracy and reliability. The deep learning algorithm applied in this study was based on the DenseNet neural network which is recently the best in performance and accuracy, and its architecture was improved with a focus on increasing the learning performance. As a result of the experiment, both speed and accuracy of learning data were more increased than the existing DenseNet architecture, which means to diagnose more images than the existing methods within the same amount of time. Copyright © 2022, IGI Global.",AI; Artificial Neural Networks; CNN; Deep Learning; DenseNet; MLP; ResNet,,,International Journal of Software Innovation,Article,Scopus
3,,The effect of CT high-resolution imaging diagnosis based on deep residual network on the pathology of bladder cancer classification and staging,"Liu D., Wang S., Wang J.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123033755&doi=10.1016%2fj.cmpb.2022.106635&partnerID=40&md5=e915227492c60102e57f8e0ce1ed6583,10.1016/j.cmpb.2022.106635,"Background and objective: To study the high-resolution CT image based on deep residual network to efficiently and accurately predict the staging diagnosis of bladder tumors. Methods: The image was processed with super-resolution to restore the missing details of the image. The CT data of 75 bladder patients who were treated in our hospital from June to December 2013 were collected. And obtain the patient's classification and staging information through pathology, which is used to establish a model of ResNet structure combined with non-Local attention mechanism. The clinical data of 76 patients with bladder disease admitted to our hospital from May 2018 to August 2021 were randomly selected, and the imaging and accuracy of CT diagnosis were retrospectively analyzed. Results: 52 cases were diagnosed <T1 stage, 16 cases belonged to T2 stage, 2 cases T3 stage, and 2 cases T4 stage. The sensitivity rate of experimental diagnosis was 94.74%, which was not significantly different from the sensitivity rate of preoperative pathological diagnosis. Conclusion: CT based on deep residual network has high application value in the diagnosis and staging of bladder cancer, can effectively improve the diagnostic accuracy, and is worthy of clinical application. © 2022",CT; Deep learning; Non-local; Residual network; Staging of bladder cancer; Super-resolution processing,,,Computer Methods and Programs in Biomedicine,Article,Scopus
4,,Comparative analysis of U-Net and TLMDB GAN for the cardiovascular segmentation of the ventricles in the heart,"Zhang Y., Feng J., Guo X., Ren Y.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123032049&doi=10.1016%2fj.cmpb.2021.106614&partnerID=40&md5=ff8deef525a3e414ffe3c08b7d333136,10.1016/j.cmpb.2021.106614,"Objective: Magnetic Resonance Image (MRI) is an important imaging modality for diagnosing heart disease and analyzing heart function. The size and shape of the ventricle are important parameters for judging whether the heart is normal, and the ventricles in the MRI image is effectively segmented It is the key to obtain the ventricle size, shape and other parameters. Accurate segmentation of the entricle is the fundamental guarantee for the evaluation of cardiac function. However, in the heart image, the contrast between the ventricle area and the background area is not obvious, the boundary is blurred, and there is noise in most of the images. The accurate segmentation of the ventricle becomes a challenging problem. Methods: We performed scanning of short-axis cardiac MR image sequences based on 33 subjects. Each subject has 8 to 15 sequences, each pertaining to a 20-frame sequence. Based on the U-Net neural network structure, the high-resolution information directly transferred from the encoder to the same-height decoder through the connection operation can provide more refined features for segmentation, such as gradients. The MRI left ventricular image segmentation method based on transfer learning and multi-scale discriminant Generative Adversarial Network (TLMDB GAN) solves the problem of insufficient ventricular image data. Results: According to the experimental results of TLMDB GAN and U-Net network on the data set, the Dice coefficients of TLMDB GAN segmentation of the inner cardiac wall and outer cardiac wall of the ventricle are 0.9399 and 0.9697, respectively, which are 0.01 higher than other methods. The Dice coefficients of U-Net segmentation of the inner cardiac wall and outer cardiac wall of the ventricle are 0.8829 and 0.9292, respectively; Conclusion: The experimental results show that the TLMDB GAN based on transfer learning and multi-scale discrimination significantly improves the segmentation accuracy when compared with the U-Net segmentation model. © 2022 Elsevier B.V.",Cardiac MRI; Generative adversarial network; U-Net; Ventricle segmentation,,,Computer Methods and Programs in Biomedicine,Article,Scopus
5,,Learning how to search: generating effective test cases through adaptive fitness function selection,"Almulla H., Gay G.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122924823&doi=10.1007%2fs10664-021-10048-8&partnerID=40&md5=acd8ea7d236f42ca67e901e7ed627caf,10.1007/s10664-021-10048-8,"Search-based test generation is guided by feedback from one or more fitness functions—scoring functions that judge solution optimality. Choosing informative fitness functions is crucial to meeting the goals of a tester. Unfortunately, many goals—such as forcing the class-under-test to throw exceptions, increasing test suite diversity, and attaining Strong Mutation Coverage—do not have effective fitness function formulations. We propose that meeting such goals requires treating fitness function identification as a secondary optimization step. An adaptive algorithm that can vary the selection of fitness functions could adjust its selection throughout the generation process to maximize goal attainment, based on the current population of test suites. To test this hypothesis, we have implemented two reinforcement learning algorithms in the EvoSuite unit test generation framework, and used these algorithms to dynamically set the fitness functions used during generation for the three goals identified above. We have evaluated our framework, EvoSuiteFIT, on a set of Java case examples. EvoSuiteFIT techniques attain significant improvements for two of the three goals, and show limited improvements on the third when the number of generations of evolution is fixed. Additionally, for two of the three goals, EvoSuiteFIT detects faults missed by the other techniques. The ability to adjust fitness functions allows strategic choices that efficiently produce more effective test suites, and examining these choices offers insight into how to attain our testing goals. We find that adaptive fitness function selection is a powerful technique to apply when an effective fitness function does not already exist for achieving a testing goal. © 2022, The Author(s).",Automated test generation; Hyperheuristic search; Reinforcement learning; Search-based test generation,,,Empirical Software Engineering,Article,Scopus
6,,Exploring convolutional neural networks with transfer learning for diagnosing Lyme disease from skin lesion images,"Hossain S.I., de Goër de Herve J., Hassan M.S., Martineau D., Petrosyan E., Corbin V., Beytout J., Lebert I., Durand J., Carravieri I., Brun-Jacob A., Frey-Klett P., Baux E., Cazorla C., Eldin C., Hansmann Y., Patrat-Delon S., Prazuck T., Raffetin A., Tattevin P., Vourc'h G., Lesens O., Nguifo E.M.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122813912&doi=10.1016%2fj.cmpb.2022.106624&partnerID=40&md5=789f265e2272fd3fbb23be6505eb2114,10.1016/j.cmpb.2022.106624,"Background and objective: Lyme disease which is one of the most common infectious vector-borne diseases manifests itself in most cases with erythema migrans (EM) skin lesions. Recent studies show that convolutional neural networks (CNNs) perform well to identify skin lesions from images. Lightweight CNN based pre-scanner applications for resource-constrained mobile devices can help users with early diagnosis of Lyme disease and prevent the transition to a severe late form thanks to appropriate antibiotic therapy. Also, resource-intensive CNN based robust computer applications can assist non-expert practitioners with an accurate diagnosis. The main objective of this study is to extensively analyze the effectiveness of CNNs for diagnosing Lyme disease from images and to find out the best CNN architectures considering resource constraints. Methods: First, we created an EM dataset with the help of expert dermatologists from Clermont-Ferrand University Hospital Center of France. Second, we benchmarked this dataset for twenty-three CNN architectures customized from VGG, ResNet, DenseNet, MobileNet, Xception, NASNet, and EfficientNet architectures in terms of predictive performance, computational complexity, and statistical significance. Third, to improve the performance of the CNNs, we used custom transfer learning from ImageNet pre-trained models as well as pre-trained the CNNs with the skin lesion dataset HAM10000. Fourth, for model explainability, we utilized Gradient-weighted Class Activation Mapping to visualize the regions of input that are significant to the CNNs for making predictions. Fifth, we provided guidelines for model selection based on predictive performance and computational complexity. Results: Customized ResNet50 architecture gave the best classification accuracy of 84.42% ±1.36, AUC of 0.9189±0.0115, precision of 83.1%±2.49, sensitivity of 87.93%±1.47, and specificity of 80.65%±3.59. A lightweight model customized from EfficientNetB0 also performed well with an accuracy of 83.13%±1.2, AUC of 0.9094±0.0129, precision of 82.83%±1.75, sensitivity of 85.21% ±3.91, and specificity of 80.89%±2.95. All the trained models are publicly available at https://dappem.limos.fr/download.html, which can be used by others for transfer learning and building pre-scanners for Lyme disease. Conclusion: Our study confirmed the effectiveness of even some lightweight CNNs for building Lyme disease pre-scanner mobile applications to assist people with an initial self-assessment and referring them to expert dermatologist for further diagnosis. © 2022 Elsevier B.V.",CNN; Erythema migrans; Explainability; Lyme disease; Transfer learning,,,Computer Methods and Programs in Biomedicine,Article,Scopus
7,,Saliency map-guided hierarchical dense feature aggregation framework for breast lesion classification using ultrasound image,"Di X., Zhong S., Zhang Y.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122648456&doi=10.1016%2fj.cmpb.2021.106612&partnerID=40&md5=e5059a231dbbbf40ca32adb0816a941a,10.1016/j.cmpb.2021.106612,"Deep learning methods, especially convolutional neural networks, have advanced the breast lesion classification task using breast ultrasound (BUS) images. However, constructing a highly-accurate classification model still remains challenging due to complex pattern, relatively-low contrast and fuzzy boundary existing between lesion regions (i.e., foreground) and the surrounding tissues (i.e., background). Few studies have separated foreground and background for learning domain-specific representations, and then fused them for improving performance of models. In this paper, we propose a saliency map-guided hierarchical dense feature aggregation framework for breast lesion classification using BUS images. Specifically, we first generate saliency maps for foreground and background via super-pixel clustering and multi-scale region grouping. Then, a triple-branch network, including two feature extraction branches and a feature aggregation branch, is constructed to learn and fuse discriminative representations under the guidance of priors provided by saliency maps. In particular, two feature extraction branches take the original image and corresponding saliency map as input for extracting foreground- and background-specific representations. Subsequently, a hierarchical feature aggregation branch receives and fuses the features from different stages of two feature extraction branches, for lesion classification in a task-oriented manner. The proposed model was evaluated on three datasets using 5-fold cross validation, and experimental results have demonstrated that it outperforms several state-of-the-art deep learning methods on breast lesion diagnosis using BUS images. © 2021",Breast lesion classification; Deep learning; Hierarchical dense feature aggregation; Saliency map; Ultrasound image,,,Computer Methods and Programs in Biomedicine,Article,Scopus
8,,ExAID: A multimodal explanation framework for computer-aided diagnosis of skin lesions,"Lucieri A., Bajwa M.N., Braun S.A., Malik M.I., Dengel A., Ahmed S.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122635590&doi=10.1016%2fj.cmpb.2022.106620&partnerID=40&md5=d4c94eac4b86f6422e44de08689c37a0,10.1016/j.cmpb.2022.106620,"Background and objectives: One principal impediment in the successful deployment of Artificial Intelligence (AI) based Computer-Aided Diagnosis (CAD) systems in everyday clinical workflows is their lack of transparent decision-making. Although commonly used eXplainable AI (XAI) methods provide insights into these largely opaque algorithms, such explanations are usually convoluted and not readily comprehensible. The explanation of decisions regarding the malignancy of skin lesions from dermoscopic images demands particular clarity, as the underlying medical problem definition is ambiguous in itself. This work presents ExAID (Explainable AI for Dermatology), a novel XAI framework for biomedical image analysis that provides multi-modal concept-based explanations, consisting of easy-to-understand textual explanations and visual maps, to justify the predictions. Methods: Our framework relies on Concept Activation Vectors to map human-understandable concepts to those learned by an arbitrary Deep Learning (DL) based algorithm, and Concept Localisation Maps to highlight those concepts in the input space. This identification of relevant concepts is then used to construct fine-grained textual explanations supplemented by concept-wise location information to provide comprehensive and coherent multi-modal explanations. All decision-related information is presented in a diagnostic interface for use in clinical routines. Moreover, the framework includes an educational mode providing dataset-level explanation statistics as well as tools for data and model exploration to aid medical research and education processes. Results: Through rigorous quantitative and qualitative evaluation of our framework on a range of publicly available dermoscopic image datasets, we show the utility of multi-modal explanations for CAD-assisted scenarios even in case of wrong disease predictions. We demonstrate that concept detectors for the explanation of pre-trained networks reach accuracies of up to 81.46%, which is comparable to supervised networks trained end-to-end. Conclusions: We present a new end-to-end framework for the multi-modal explanation of DL-based biomedical image analysis in Melanoma classification and evaluate its utility on an array of datasets. Since perspicuous explanation is one of the cornerstones of any CAD system, we believe that ExAID will accelerate the transition from AI research to practice by providing dermatologists and researchers with an effective tool that they can both understand and trust. ExAID can also serve as the basis for similar applications in other biomedical fields. © 2022",Artificial intelligence in dermatology; Computer-aided diagnosis; Explainable artificial intelligence; Interpretability; Medical image processing; Textual explanations,,,Computer Methods and Programs in Biomedicine,Article,Scopus
9,,Robust asynchronous control of ERP-Based brain-Computer interfaces using deep learning,"Santamaría-Vázquez E., Martínez-Cagigal V., Pérez-Velasco S., Marcos-Martínez D., Hornero R.",2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122631601&doi=10.1016%2fj.cmpb.2022.106623&partnerID=40&md5=07ac1162fdda738158d0899f45e0b5c9,10.1016/j.cmpb.2022.106623,"Background and Objective. Brain-computer interfaces (BCI) based on event-related potentials (ERP) are a promising technology for alternative and augmented communication in an assistive context. However, most approaches to date are synchronous, requiring the intervention of a supervisor when the user wishes to turn his attention away from the BCI system. In order to bring these BCIs into real-life applications, a robust asynchronous control of the system is required through monitoring of user attention. Despite the great importance of this limitation, which prevents the deployment of these systems outside the laboratory, it is often overlooked in research articles. This study was aimed to propose a novel method to solve this problem, taking advantage of deep learning for the first time in this context to overcome the limitations of previous strategies based on hand-crafted features. Methods. The proposed method, based on EEG-Inception, a novel deep convolutional neural network, divides the problem in 2 stages to achieve the asynchronous control: (i) the model detects user's control state, and (ii) decodes the command only if the user is attending to the stimuli. Additionally, we used transfer learning to reduce the calibration time, even exploring a calibration-less approach. Results. Our method was evaluated with 22 healthy subjects, analyzing the impact of the calibration time and number of stimulation sequences on the system's performance. For the control state detection stage, we report average accuracies above 91% using only 1 sequence of stimulation and 30 calibration trials, reaching a maximum of 96.95% with 15 sequences. Moreover, our calibration-less approach also achieved suitable results, with a maximum accuracy of 89.36%, showing the benefits of transfer learning. As for the overall asynchronous system, which includes both stages, the maximum information transfer rate was 35.54 bpm, a suitable value for high-speed communication. Conclusions. The proposed strategy achieved higher performance with less calibration trials and stimulation sequences than former approaches, representing a promising step forward that paves the way for more practical applications of ERP-based spellers. © 2022 The Authors",Asynchrony; Brain–computer interfaces; Control state detection; Convolutional neural networks; Deep learning; Event-related potentials; P300,,,Computer Methods and Programs in Biomedicine,Article,Scopus
